Class Name,Nose,LeftEye,RightEye,LeftEar,RightEar,LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftHip,RightHip,LeftKnee,RightKnee,LeftAnkle,RightAnkle
Peacock,0.608183873548387,0.618839740645161,0.630662529435484,0.639443295645162,0.67378483766129,0.622461183145161,0.616072068145161,0.500635472137097,0.547599828225807,0.560551274306451,0.588955083951613,0.67261288516129,0.648262663951613,0.579363345854839,0.563929620612903,0.547511925943548,0.578526065201613
Seated_Forward_Bend,0.504919413883178,0.581386935490654,0.563666943476636,0.56416291021028,0.561513836616822,0.63172683846729,0.609483622616823,0.561561782570093,0.605016814537383,0.508633111985981,0.522503872990654,0.640560296654206,0.614587636116822,0.500718282042056,0.495428385981308,0.426715700331775,0.417073309705607
Wide-Angle_Seated_Forward_Bend,0.552062521677852,0.575441889798658,0.557820210604027,0.610807843557047,0.572120977516778,0.699322856845638,0.647750544899329,0.591220891543624,0.572451404765101,0.578149672053691,0.562965380315436,0.582987059798658,0.590834969597315,0.551692199100671,0.583515703154363,0.607080580865772,0.608350254765101
Side-Reclining_Leg_Lift,0.667387454951456,0.725621135242719,0.709194336990291,0.66688032223301,0.696456565339806,0.716588998058252,0.728777739514563,0.753924400776699,0.727884219951456,0.643150813106796,0.618527765572816,0.716890098834952,0.729678705728155,0.701400561941748,0.690453712572815,0.64655682676699,0.662228250902913
Reclining_Bound_Angle,0.624636782663317,0.621176882060302,0.63594958281407,0.638534506934674,0.639770197040201,0.714335092442211,0.662708754221106,0.573222650653266,0.567682812492462,0.524082733934673,0.484892124130653,0.675520259447236,0.673262998592965,0.639614950070351,0.641709713748744,0.454213470371859,0.498899792688442
Low_Lunge,0.590352815591398,0.603634030236559,0.609687185752688,0.638836281258065,0.632574680215054,0.659271077741935,0.673256472903226,0.576476524139785,0.564182365591398,0.568592683736559,0.566874233897849,0.714700337473119,0.717931240483871,0.730928610887097,0.722268196849463,0.692327520107527,0.70573556911828
Chair,0.569070320546448,0.584662688087431,0.58710825852459,0.615119936666667,0.610561720327869,0.66089266978142,0.672734635027322,0.574688136885246,0.545090551366121,0.561760988688525,0.544425140655738,0.717354733005464,0.704051760546448,0.661415061857923,0.663795020819672,0.644277386098361,0.646315403715847
Sage_Koundinya,0.527915026666667,0.554180882747748,0.549461069306306,0.551838745315315,0.536978363099099,0.537666667837838,0.489497735945946,0.399155201315315,0.426735288963964,0.504663225135135,0.533984007711712,0.534827729315315,0.518077771765766,0.478035412783784,0.394480604198198,0.439517656279279,0.45194902345045
Supported_Shoulderstand,0.581384216164383,0.616280454109589,0.610827805684932,0.669899199657534,0.650288623493151,0.663341474520548,0.602098976575342,0.552091329486301,0.548366016924657,0.433659108589041,0.453269140863014,0.568774465068493,0.557136628493151,0.636337661369863,0.664825282876712,0.585541036123288,0.59036372109589
Bound_Angle,0.664096549648352,0.684665120274725,0.682780033494506,0.703512567582418,0.667533851923077,0.779623038241758,0.778440718846154,0.722735101862637,0.724921843725275,0.678626913307692,0.65134671021978,0.761568465934066,0.753948508104395,0.720112044538461,0.731377678587912,0.54125835489011,0.582063409549451
